edge left endpoint: 4619, right endpoint: 2872
edge left endpoint: 3312, right endpoint: 3075
edge left endpoint: 4371, right endpoint: 2510
edge left endpoint: 3075, right endpoint: 3208
edge left endpoint: 2510, right endpoint: 1175
edge left endpoint: 3284, right endpoint: 318
edge left endpoint: 41, right endpoint: 239
edge left endpoint: 1322, right endpoint: 1355
edge left endpoint: 2948, right endpoint: 2472
edge left endpoint: 2948, right endpoint: 2699
edge left endpoint: 3066, right endpoint: 1329
edge left endpoint: 4407, right endpoint: 2552
edge left endpoint: 2472, right endpoint: 2699
edge left endpoint: 2472, right endpoint: 3409
edge left endpoint: 62, right endpoint: 307
edge left endpoint: 2017, right endpoint: 1506
edge left endpoint: 419, right endpoint: 1163
edge left endpoint: 4404, right endpoint: 1183
edge left endpoint: 1869, right endpoint: 1464
edge left endpoint: 2286, right endpoint: 928
edge left endpoint: 285, right endpoint: 1309
edge left endpoint: 57, right endpoint: 269
edge left endpoint: 4119, right endpoint: 3519
edge left endpoint: 1195, right endpoint: 1567
edge left endpoint: 65, right endpoint: 347
edge left endpoint: 540, right endpoint: 950
edge left endpoint: 4261, right endpoint: 1854
edge left endpoint: 2379, right endpoint: 846
edge left endpoint: 329, right endpoint: 25
edge left endpoint: 2353, right endpoint: 1854
edge left endpoint: 1854, right endpoint: 296
edge left endpoint: 1854, right endpoint: 2115
edge left endpoint: 347, right endpoint: 1956
edge left endpoint: 1664, right endpoint: 1197
edge left endpoint: 1315, right endpoint: 1153
edge left endpoint: 1465, right endpoint: 2533
edge left endpoint: 1465, right endpoint: 1540
edge left endpoint: 296, right endpoint: 1651
edge left endpoint: 4067, right endpoint: 1956
edge left endpoint: 1956, right endpoint: 2033
edge left endpoint: 4110, right endpoint: 1860
edge left endpoint: 2491, right endpoint: 2765
edge left endpoint: 2765, right endpoint: 2761
edge left endpoint: 1218, right endpoint: 1259
edge left endpoint: 1259, right endpoint: 2537
edge left endpoint: 4189, right endpoint: 1051
edge left endpoint: 849, right endpoint: 1282
edge left endpoint: 926, right endpoint: 1693
edge left endpoint: 4187, right endpoint: 1561
edge left endpoint: 1071, right endpoint: 2537
edge left endpoint: 1071, right endpoint: 1543
edge left endpoint: 3641, right endpoint: 1882
edge left endpoint: 3119, right endpoint: 3187
edge left endpoint: 3119, right endpoint: 2785
edge left endpoint: 1561, right endpoint: 623
edge left endpoint: 1882, right endpoint: 2098
edge left endpoint: 4377, right endpoint: 2981
edge left endpoint: 4502, right endpoint: 1864
edge left endpoint: 1286, right endpoint: 1147
edge left endpoint: 1687, right endpoint: 955
edge left endpoint: 3187, right endpoint: 1017
edge left endpoint: 3187, right endpoint: 135
edge left endpoint: 2785, right endpoint: 135
edge left endpoint: 2078, right endpoint: 1121
edge left endpoint: 551, right endpoint: 1118
edge left endpoint: 1017, right endpoint: 1469
edge left endpoint: 3942, right endpoint: 3301
edge left endpoint: 4508, right endpoint: 1469
edge left endpoint: 1881, right endpoint: 4375
edge left endpoint: 1864, right endpoint: 1767
edge left endpoint: 2479, right endpoint: 2492
edge left endpoint: 1147, right endpoint: 1164
edge left endpoint: 2483, right endpoint: 2940
edge left endpoint: 2483, right endpoint: 2500
edge left endpoint: 2483, right endpoint: 2324
edge left endpoint: 2660, right endpoint: 4385
edge left endpoint: 1515, right endpoint: 1432
edge left endpoint: 2067, right endpoint: 2448
edge left endpoint: 2940, right endpoint: 2500
edge left endpoint: 313, right endpoint: 3937
edge left endpoint: 3301, right endpoint: 3937
edge left endpoint: 555, right endpoint: 539
edge left endpoint: 2500, right endpoint: 2324
edge left endpoint: 2716, right endpoint: 1662
edge left endpoint: 3329, right endpoint: 3923
edge left endpoint: 3329, right endpoint: 289
edge left endpoint: 796, right endpoint: 75
edge left endpoint: 533, right endpoint: 2001
edge left endpoint: 697, right endpoint: 1727
edge left endpoint: 2248, right endpoint: 2368
edge left endpoint: 4406, right endpoint: 3178
edge left endpoint: 4406, right endpoint: 1157
edge left endpoint: 4406, right endpoint: 4334
edge left endpoint: 1662, right endpoint: 2161
edge left endpoint: 295, right endpoint: 170
edge left endpoint: 1534, right endpoint: 4131
edge left endpoint: 3178, right endpoint: 1157
edge left endpoint: 3178, right endpoint: 4334
edge left endpoint: 1265, right endpoint: 1206
edge left endpoint: 1265, right endpoint: 4410
edge left endpoint: 488, right endpoint: 565
edge left endpoint: 488, right endpoint: 531
edge left endpoint: 1740, right endpoint: 1857
edge left endpoint: 1740, right endpoint: 1703
edge left endpoint: 1206, right endpoint: 4410
edge left endpoint: 4410, right endpoint: 2013
edge left endpoint: 4410, right endpoint: 1620
edge left endpoint: 75, right endpoint: 557
edge left endpoint: 1654, right endpoint: 1063
edge left endpoint: 1857, right endpoint: 1676
edge left endpoint: 2012, right endpoint: 3209
edge left endpoint: 2013, right endpoint: 1826
edge left endpoint: 2013, right endpoint: 1396
edge left endpoint: 1826, right endpoint: 1582
edge left endpoint: 1703, right endpoint: 1676
edge left endpoint: 2058, right endpoint: 1462
edge left endpoint: 568, right endpoint: 2065
edge left endpoint: 1620, right endpoint: 2240
edge left endpoint: 1620, right endpoint: 1396
edge left endpoint: 4545, right endpoint: 608
edge left endpoint: 1936, right endpoint: 2065
edge left endpoint: 1334, right endpoint: 4434
edge left endpoint: 1582, right endpoint: 1848
edge left endpoint: 2646, right endpoint: 3014
edge left endpoint: 2646, right endpoint: 1929
edge left endpoint: 4304, right endpoint: 1285
edge left endpoint: 2721, right endpoint: 1375
edge left endpoint: 2721, right endpoint: 1041
edge left endpoint: 1375, right endpoint: 1041
edge left endpoint: 3926, right endpoint: 3920
edge left endpoint: 655, right endpoint: 1877
edge left endpoint: 1285, right endpoint: 691
edge left endpoint: 4341, right endpoint: 1298
edge left endpoint: 1622, right endpoint: 548
edge left endpoint: 1622, right endpoint: 1189
edge left endpoint: 1848, right endpoint: 1922
edge left endpoint: 2065, right endpoint: 1262
edge left endpoint: 2065, right endpoint: 508
edge left endpoint: 2065, right endpoint: 2047
edge left endpoint: 1298, right endpoint: 643
edge left endpoint: 1298, right endpoint: 1774
edge left endpoint: 1738, right endpoint: 1820
edge left endpoint: 3014, right endpoint: 1929
